Tourney,tourneyType,tourneyDate,player,FACTION,points,swiss_standing,elim_standing,listId,Ship,Pilot,Elite Pilot Talent.1,Elite Pilot Talent.2,Title,Crew.1,Crew.2,Crew.3,Astromech Droid,System,Modification.1,Modification.2,Cannon,Missile.1,Missile.2,Torpedo.1,Torpedo.2,Bomb,Turret Weapon,Tech
Worlds 2015 (final standings only),World championship,11/4/2015,Paul Heaver,Rebel Alliance,100,1,1,13729,T-70 X-Wing,Poe Dameron,Veteran Instincts,,,,,,R2-D2,,Autothrusters,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Paul Heaver,Rebel Alliance,100,1,1,13729,Y-Wing,Gold Squadron Pilot,,,BTL-A4 Y-Wing,,,,R3-A2,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Paul Heaver,Rebel Alliance,100,1,1,13729,Y-Wing,Gold Squadron Pilot,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Paul Heaver,Rebel Alliance,100,1,1,13729,Z-95 Headhunter,Bandit Squadron Pilot,,,,,,,,,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Aaron Bonar,Rebel Alliance,99,2,8,13730,K-Wing,Miranda Doni,,,,Tactician,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Aaron Bonar,Rebel Alliance,99,2,8,13730,K-Wing,Warden Squadron Pilot,,,,Tactician,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Aaron Bonar,Rebel Alliance,99,2,8,13730,K-Wing,Warden Squadron Pilot,,,,Tactician,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Francisco Berna Menendez,Galactic Empire,100,3,8,13731,TIE Advanced,Darth Vader,Predator,,TIE/x1,,,,,Advanced Targeting Computer,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Francisco Berna Menendez,Galactic Empire,100,3,8,13731,TIE Interceptor,Carnor Jax,Push the Limit,,Royal Guard TIE,,,,,,Stealth Device,Autothrusters,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Francisco Berna Menendez,Galactic Empire,100,3,8,13731,Lambda-Class Shuttle,Omicron Group Pilot,,,,Emperor Palpatine,,,,Sensor Jammer,,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Kári Kristinsson,Rebel Alliance,100,4,16,13732,E-Wing,Corran Horn,Push the Limit,,,,,,R2-D2,Fire-Control System,Shield Upgrade,,,,,,,,,
Worlds 2015 (final standings only),World championship,11/4/2015,Kári Kristinsson,Rebel Alliance,100,4,16,13732,Y-Wing,Gray Squadron Pilot,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Kári Kristinsson,Rebel Alliance,100,4,16,13732,Y-Wing,Gray Squadron Pilot,,,,,,,,,,,,,,,,,Twin Laser Turret,
Worlds 2015 (final standings only),World championship,11/4/2015,Brad Miller,Galactic Empire,98,5,16,13733,VT-49 Decimator,Rear Admiral Chiraneau,Veteran Instincts,,,Darth Vader,Gunner,,,,Engine Upgrade,,,,,,,,,
